ID;Concierto;Recinto;Productora/organizadora;Tiquetera ;Fecha;Numero_asistentes;Tipo_ artista;Artista;Rango_precios;Opcion_descuento_entradas;Preventa;Cancelado;Cambio_recinto;Genero_musical
1;X The Future is Unknown;Club Hipico;Street Machine;PuntoTicket;28-09-2024;Sin datos;Internacional;Adriatique;39.000 - 99.000;No;1;0;0;Electronica
1;X The Future is Unknown;Club Hipico;Street Machine;PuntoTicket;28-09-2024;Sin datos;Internacional;Mau P;39.000 - 99.000;No;1;0;0;Electronica
1;X The Future is Unknown;Club Hipico;Street Machine;PuntoTicket;28-09-2024;Sin datos;Internacional;Layla Benítez;39.000 - 99.000;No;1;0;0;Electronica
1;X The Future is Unknown;Club Hipico;Street Machine;PuntoTicket;28-09-2024;Sin datos;Internacional;Undercatt y Vomee;39.000 - 99.000;No;1;0;0;Electronica
1;X The Future is Unknown;Club Hipico;Street Machine;PuntoTicket;28-09-2024;Sin datos;Nacional;Camila Govorcín;39.000 - 99.000;No;1;0;0;Electronica
2;John Summit 2024;Club Hipico;Street Machine;PuntoTicket;01-12-2024;Sin datos;Internacional;John Summit ;29.000 - 79.000;No;1;0;0;Electronica
3;LA FERIA ON TOUR: ARTBAT;Espacio Riesco;La Feria On Tour;Passline;31-10-2024;Sin datos;Internacional;ARTBAT;Sin datos;No;1;0;0;Electronica
4;LA FERIA ON TOUR: MICHAEL BIBI;Espacio Riesco;La Feria On Tour;Passline;23-11-2024;Sin datos;Internacional;Michael Bibi;45.000 - 169.000;No;1;0;0;Electronica
5;Jonas Brothers: THE TOUR;Estadio Bicentenario de La Florida;DG Medios;TicketMaster;23-04-2024;Sin datos;Internacional;Jonas Brothers;52.425 - 215.525;Descuento Entel - 20% Descuento Scotiabank - 20%;1;0;0;Pop
6;FAITH IN THE FUTURE WORLD TOUR;Estadio Bicentenario de La Florida;DG Medios;TicketMaster;24-05-2024;Sin datos;Internacional;Louis Tomlinson;53.590 - 186.400;Descuento Entel - 20% Descuento Scotiabank - 20%;1;0;0;Pop
7;Circus Maximus World Tour ;Estadio Bicentenario de La Florida;Fenix Entertainment Group ;TicketMaster;07-09-2024;10.000;Internacional;Travis Scott;79.350 - 258.750;No;1;0;0;Hip hop
8;Gira Antes de que Amanezca;Estadio Bicentenario de La Florida;Swing Management;TicketMaster;05-10-2024;25.000;Internacional;Morat;57.500 - 391-000;Descuento Clientes Banco Falabella - 30-20%;0;0;0;Pop Rock
9;El Primer Estadio;Estadio Bicentenario de La Florida;Bizarro Live Entertainment;TicketMaster;08-11-2024;25.000;Nacional;Young Cister;25.000 - 75.000;No;0;0;0;Urbana
10;Got Back Tour;Estadio Monumental David Arellano;DG Medios;TicketMaster;11-10-2024;40.000;Internacional;Paul McCartney;67.570 - 291.250;Descuento Entel - 20% Descuento Scotiabank-  20%;1;0;0;Rock
11;A.D.A Tour 2024;Estadio Monumental David Arellano;Bizarro Live Entertainment;PuntoTicket;15-11-2024;40.000;Internacional;Duki;34.500 - 97.750;No;1;0;0;Trap
12;Ferxxocalipsis Tour 2024;Estadio Monumental David Arellano;DG Medios;TicketMaster;26-11-2024;Sin datos ;Internacional;Feid ;53.590 - 180.575;Descuento Entel - 20% Descuento Scotiabank-  20%;1;0;0;Reggaeton 
13;Luis Miguel: Tour 2024;Estadio Nacional;Fenix Entertainment Group ;PuntoTicket;01-03-2024;Sin datos ;Internacional;Luis Miguel;61.200 - 506.800;Descuento Banco de Chile  - 20%;1;0;0;Balada
14;Luis Miguel: Tour 2024;Estadio Nacional;Fenix Entertainment Group ;PuntoTicket;02-03-2024;Sin datos ;Internacional;Luis Miguel;61.200 - 506.800;Descuento Banco de Chile  - 20%;1;0;0;Balada
15;Mañana sera bonito Tour;Estadio Nacional;Bizarro Live Entertainment;PuntoTicket;19-04-2024;Sin datos;Internacional;Karol G;57.500 - 368.000;Descuento Banco Estado - 20%;1;0;0;Urbana
16;Mañana sera bonito Tour;Estadio Nacional;Bizarro Live Entertainment;PuntoTicket;20-04-2024;Sin datos;Internacional;Karol G;57.500 - 368.000;Descuento Banco Estado - 20%;1;0;0;Urbana
17;Mañana sera bonito Tour;Estadio Nacional;Bizarro Live Entertainment;PuntoTicket;21-04-2024;Sin datos;Internacional;Karol G;57.500 - 368.000;Descuento Banco Estado - 20%;1;0;0;Urbana
18;Ven Aqui;Estadio Nacional;La Oreja;PuntoTicket;27-04-2024;50.000;Nacional;Los Bunkers ;29.900 - 94.900;No;0;0;0;Rock
19;Ven Aqui;Estadio Nacional;La Oreja;PuntoTicket;28-04-2024;50.000;Nacional;Los Bunkers ;29.900 - 94.900;No;0;0;0;Rock
20;Cerrando Ciclos;Estadio Nacional;DG Medios;TicketMaster;29-10-2024;Sin datos;Internacional;Aventura ;70.850 - 332.975;Descuento Entel - 20% Descuento Scotiabank-  20%;1;0;0;Bachata
21;Cerrando Ciclos;Estadio Nacional;DG Medios;TicketMaster;30-10-2024;Sin datos;Internacional;Aventura;70.850 - 332.975;Descuento Entel - 20% Descuento Scotiabank - 20%;1;0;0;Bachata
22;Journey y Deep Purple;Estadio Santa Laura ;FanLab;PuntoTicket;17-09-2024;40.000;Internacional;Deep Purple;56.350 -218.500;Descuento Claro Club 30-40% Descuento Cencosud Scotiabank 30-40%;1;0;0;Rock
23;Journey y Deep Purple;Estadio Santa Laura ;FanLab;PuntoTicket;17-09-2024;40.000;Internacional;Journey;56.350 - 218.500;Descuento Claro Club 30-40% Descuento Cencosud Scotiabank 30-40%;1;0;0;Rock
24;Halloween Live;Hiporomo Chile;Next Producciones;Ticketplus ;31-10-2024;Sin datos;Nacional;Julianno Sosa;Sin datos;No;0;0;0;Urbana
25;Año Nuevo Open Air;Hiporomo Chile;Techno Eventos;PuntoTicket;31-12-2024;Sin datos;Internacional;HOZHO;23.000 - 80.500;No;0;0;0;Electronica
25;Año Nuevo Open Air;Hiporomo Chile;Techno Eventos;PuntoTicket;31-12-2024;Sin datos;Internacional;AMAZINGBLADE;23.000 - 80.500;No;0;0;0;Electronica
26;Young Cister Listening Party;Movistar Arena;Bizarro Live Entertainment;PuntoTicket;17-01-2024;Sin datos;Nacional;Young Cister;9.990;No;0;0;0;Urbana
27;Todo o Nada Tour ;Movistar Arena;Bizarro Live Entertainment;PuntoTicket;02-02-2024;No aplica;Internacional;Santa Fe Klan;11.500 - 40.250;No;0;1;0;Rap
28;40 Years Of Morrisey;Movistar Arena;Lotus;PuntoTicket;15-02-2024;No aplica;Internacional;Morrisey;8.500 - 114.000;Descuento Banco de Chile  - 20%;1;1;0;Rock
29;Oscar D'Leon;Movistar Arena;Product Show Entertainment;PuntoTicket;17-02-2024;No aplica;Internacional;Oscar D'Leon;Sin datos;No;0;1;0;Salsa
30;La Ultima Función World Tour ;Movistar Arena;Snow Entertainment ;PuntoTicket;20-02-2024;Sin datos;Internacional;Voz Veis;21.850 - 97.750;No;0;0;0;Pop Balada
31;Laura Pausini World Tour 2023/2024;Movistar Arena;MULTIMUSICA;PuntoTicket;25-02-2024;Sin datos;Internacional;Laura Pausini;40.250 - ;No;1;0;0;Balada
32;Sanz En vivo;Movistar Arena;Bizarro Live Entertainment;PuntoTicket;27-02-2024;Sin datos;Internacional;Alejandro Sanz;11.500 - 287.500;No;0;0;0;Pop Balada
33;Mexico Lindo y Querido Latam Tour 2024;Movistar Arena;Bizarro Live Entertainment;PuntoTicket;28-02-2024;Sin datos ;Internacional;Maná;11.500 - 322.000;No;0;0;0;Rock
34;Tour Victoria;Movistar Arena;MULTIMUSICA;PuntoTicket;29-02-2024;Sin datos;Internacional;Raphael ;30.000 - 110.000;No;0;0;0;Balada
35;Martin Garrix En Chile ;Movistar Arena;Street Machine;PuntoTicket;02-03-2024;Sin datos;Internacional;Martin Garrix;25.000 - 99.000;No;0;0;0;Electronica
36;20 Años Sin Noticias;Movistar Arena;MIDEA4YOU PRODUCCIONES;PuntoTicket;07-03-2024;Sin datos;Internacional;Melendi;28.750 - 172.500;No;0;0;0;Pop Balada
37;Tour 30 Años;Movistar Arena;MIDEA4YOU PRODUCCIONES;PuntoTicket;08-03-2024;Sin datos;Internacional;Victor Manuelle;28.750 - 109.250;Descuento 40% Ultimos Tickets;0;0;0;Salsa
