Hipodromo;Festival;Recinto;Productora/ organizadora;Tiquetera ;Fecha;Numero_asistentes;Tipo_artista;Artista;Precio_minimo;Precio_maximo;Preventas_realizadas ;Cancelado;Cambio_recinto
1;Crush Power Music 2024 ;Parque Padre Hurtado ;Bizarro Live Entertainment;PuntoTicket ;20-01-2024;Mas de 18 mil ;Internacional (latinoamericano);Yandel ;28750;103500;0;No;No
1;Crush Power Music 2024 ;Parque Padre Hurtado ;Bizarro Live Entertainment;PuntoTicket ;20-01-2024;Mas de 18 mil ;Internacional (latinoamericano);Emilia ;28750;103500;0;No;No
1;Crush Power Music 2024 ;Parque Padre Hurtado ;Bizarro Live Entertainment;PuntoTicket ;20-01-2024;Mas de 18 mil ;Internacional (latinoamericano);Ryan Castro ;28750;103500;0;No;No
1;Crush Power Music 2024 ;Parque Padre Hurtado ;Bizarro Live Entertainment;PuntoTicket ;20-01-2024;Mas de 18 mil ;Internacional (latinoamericano);Bryant Myers ;28750;103500;0;No;No
1;Crush Power Music 2024 ;Parque Padre Hurtado ;Bizarro Live Entertainment;PuntoTicket ;20-01-2024;Mas de 18 mil ;Nacional;Cris MJ;28750;103500;0;No;No
1;Crush Power Music 2024 ;Parque Padre Hurtado ;Bizarro Live Entertainment;PuntoTicket ;20-01-2024;Mas de 18 mil ;Nacional;Kidd Voodoo;28750;103500;0;No;No
2;Festival de Las Condes 2024;Parque Padre Hurtado ;Bizarro Live Entertainment;PuntoTicket ;26-01-2024;Sin datos. Se esperaban 20 mil personas maximo por dia ;Internacional (latinoamericano);Carlos Vives;0;0;0;No;No
2;Festival de Las Condes 2024;Parque Padre Hurtado ;Bizarro Live Entertainment;PuntoTicket ;26-01-2024;Sin datos. Se esperaban 20 mil personas maximo por dia ;Nacional;Gaby del Rio;0;0;0;No;No
2;Festival de Las Condes 2024;Parque Padre Hurtado ;Bizarro Live Entertainment;PuntoTicket ;26-01-2024;Sin datos. Se esperaban 20 mil personas maximo por dia ;Nacional;Noche de Brujas ;0;0;0;No;No
2;Festival de Las Condes 2024;Parque Padre Hurtado ;Bizarro Live Entertainment;PuntoTicket ;27-01-2024;Sin datos. Se esperaban 20 mil personas maximo por dia ;Internacional (latinoamericano);Bacilos;0;0;0;No;No
2;Festival de Las Condes 2024;Parque Padre Hurtado ;Bizarro Live Entertainment;PuntoTicket ;27-01-2024;Sin datos. Se esperaban 20 mil personas maximo por dia ;Internacional (latinoamericano);Ezequiel Campa;0;0;0;No;No
2;Festival de Las Condes 2024;Parque Padre Hurtado ;Bizarro Live Entertainment;PuntoTicket ;27-01-2024;Sin datos. Se esperaban 20 mil personas maximo por dia ;Internacional (latinoamericano);Axe Bahia;0;0;0;No;No
3;Fiebre del Memo - edicion verano  ;Club Hipico ;Memo Entertainment ;Passline ;03-02-2024;Sin datos ;Internacional (latinoamericano);Jowell y Randy;20000;35000;3;No;No
3;Fiebre del Memo - edicion verano  ;Club Hipico ;Memo Entertainment ;Passline ;03-02-2024;Sin datos ;Internacional (latinoamericano);Los Autenticos Decadentes;20000;35000;3;No;No
3;Fiebre del Memo - edicion verano  ;Club Hipico ;Memo Entertainment ;Passline ;03-02-2024;Sin datos ;Internacional (latinoamericano);Amar Azul;20000;35000;3;No;No
3;Fiebre del Memo - edicion verano  ;Club Hipico ;Memo Entertainment ;Passline ;03-02-2024;Sin datos ;Internacional (latinoamericano);El Polaco;20000;35000;3;No;No
3;Fiebre del Memo - edicion verano  ;Club Hipico ;Memo Entertainment ;Passline ;03-02-2024;Sin datos ;Internacional (latinoamericano);Ariel El Traidor y los Pibes;20000;35000;3;No;No
3;Fiebre del Memo - edicion verano  ;Club Hipico ;Memo Entertainment ;Passline ;03-02-2024;Sin datos ;Internacional (latinoamericano);Agrupacion Marilyn ;20000;35000;3;No;No
3;Fiebre del Memo - edicion verano  ;Club Hipico ;Memo Entertainment ;Passline ;03-02-2024;Sin datos ;Nacional;Santaferia;20000;35000;3;No;No
3;Fiebre del Memo - edicion verano  ;Club Hipico ;Memo Entertainment ;Passline ;03-02-2024;Sin datos ;Nacional;Zumbale Primo;20000;35000;3;No;No
3;Fiebre del Memo - edicion verano  ;Club Hipico ;Memo Entertainment ;Passline ;03-02-2024;Sin datos ;Nacional;Grupo Alegria;20000;35000;3;No;No
3;Fiebre del Memo - edicion verano  ;Club Hipico ;Memo Entertainment ;Passline ;03-02-2024;Sin datos ;Internacional (latinoamericano);Luis Lambis;20000;35000;3;No;No
3;Fiebre del Memo - edicion verano  ;Club Hipico ;Memo Entertainment ;Passline ;03-02-2024;Sin datos ;Internacional (latinoamericano);Tony Angel y su Potencia;20000;35000;3;No;No
3;Fiebre del Memo - edicion verano  ;Club Hipico ;Memo Entertainment ;Passline ;03-02-2024;Sin datos ;Nacional;Sonora 5 Estrellas;20000;35000;3;No;No
3;Fiebre del Memo - edicion verano  ;Club Hipico ;Memo Entertainment ;Passline ;03-02-2024;Sin datos ;Nacional;Jere Klein;20000;35000;3;No;No
3;Fiebre del Memo - edicion verano  ;Club Hipico ;Memo Entertainment ;Passline ;03-02-2024;Sin datos ;Nacional;Alanys Lagos ;20000;35000;3;No;No
3;Fiebre del Memo - edicion verano  ;Club Hipico ;Memo Entertainment ;Passline ;03-02-2024;Sin datos ;Nacional;DJ Lito ;20000;35000;3;No;No
3;Fiebre del Memo - edicion verano  ;Club Hipico ;Memo Entertainment ;Passline ;03-02-2024;Sin datos ;Nacional;Zero Animador;20000;35000;3;No;No
4;Bierfest Santiago - edicion verano ;Parque Padre Hurtado ;Pronueve Producciones ;Ticketplus;10-02-2024;Sin datos;Nacional;Los Mox!;10000;20000;4;No;No
4;Bierfest Santiago - edicion verano ;Parque Padre Hurtado ;Pronueve Producciones ;Ticketplus;10-02-2024;Sin datos;Nacional;Sinergia;10000;20000;4;No;No
4;Bierfest Santiago - edicion verano ;Parque Padre Hurtado ;Pronueve Producciones ;Ticketplus;10-02-2024;Sin datos;Nacional;Gufi;10000;20000;4;No;No
4;Bierfest Santiago - edicion verano ;Parque Padre Hurtado ;Pronueve Producciones ;Ticketplus;10-02-2024;Sin datos;Nacional;Tronic;10000;20000;4;No;No
4;Bierfest Santiago - edicion verano ;Parque Padre Hurtado ;Pronueve Producciones ;Ticketplus;10-02-2024;Sin datos;Nacional;Kuervos del Sur;10000;20000;4;No;No
4;Bierfest Santiago - edicion verano ;Parque Padre Hurtado ;Pronueve Producciones ;Ticketplus;10-02-2024;Sin datos;Nacional;Los Jaivas;10000;20000;4;No;No
5;Lollapalooza Chile 2024;Parque Bicentenario de Cerrillos;C3 Presents y Lotus ;Ticketmaster;15-03-2024;Cerca de 50 mil asistentes (210 mil en total) ;Internacional (latinoamericano);Bratty;128000;924000;2;No;No
5;Lollapalooza Chile 2024;Parque Bicentenario de Cerrillos;C3 Presents y Lotus ;Ticketmaster;15-03-2024;Cerca de 50 mil asistentes (210 mil en total) ;Internacional (latinoamericano);Kenia Os;128000;924000;2;No;No
5;Lollapalooza Chile 2024;Parque Bicentenario de Cerrillos;C3 Presents y Lotus ;Ticketmaster;15-03-2024;Cerca de 50 mil asistentes (210 mil en total) ;Internacional;Jessie Reyez;128000;924000;2;No;No
5;Lollapalooza Chile 2024;Parque Bicentenario de Cerrillos;C3 Presents y Lotus ;Ticketmaster;15-03-2024;Cerca de 50 mil asistentes (210 mil en total) ;Internacional;Thirty Seconds to Mars;128000;924000;2;No;No
5;Lollapalooza Chile 2024;Parque Bicentenario de Cerrillos;C3 Presents y Lotus ;Ticketmaster;15-03-2024;Cerca de 50 mil asistentes (210 mil en total) ;Internacional (latinoamericano);Feid;128000;924000;2;No;No
5;Lollapalooza Chile 2024;Parque Bicentenario de Cerrillos;C3 Presents y Lotus ;Ticketmaster;15-03-2024;Cerca de 50 mil asistentes (210 mil en total) ;Nacional;Machuca;128000;924000;2;No;No
5;Lollapalooza Chile 2024;Parque Bicentenario de Cerrillos;C3 Presents y Lotus ;Ticketmaster;15-03-2024;Cerca de 50 mil asistentes (210 mil en total) ;Internacional (latinoamericano);Gale;128000;924000;2;No;No
5;Lollapalooza Chile 2024;Parque Bicentenario de Cerrillos;C3 Presents y Lotus ;Ticketmaster;15-03-2024;Cerca de 50 mil asistentes (210 mil en total) ;Internacional;Dayglow;128000;924000;2;No;No
5;Lollapalooza Chile 2024;Parque Bicentenario de Cerrillos;C3 Presents y Lotus ;Ticketmaster;15-03-2024;Cerca de 50 mil asistentes (210 mil en total) ;Internacional;Hozier;128000;924000;2;No;No
5;Lollapalooza Chile 2024;Parque Bicentenario de Cerrillos;C3 Presents y Lotus ;Ticketmaster;15-03-2024;Cerca de 50 mil asistentes (210 mil en total) ;Internacional;Limp Bizkit;128000;924000;2;No;No
5;Lollapalooza Chile 2024;Parque Bicentenario de Cerrillos;C3 Presents y Lotus ;Ticketmaster;15-03-2024;Cerca de 50 mil asistentes (210 mil en total) ;Internacional;Meduza;128000;924000;2;No;No
5;Lollapalooza Chile 2024;Parque Bicentenario de Cerrillos;C3 Presents y Lotus ;Ticketmaster;15-03-2024;Cerca de 50 mil asistentes (210 mil en total) ;Internacional (latinoamericano);Florian;128000;924000;2;No;No
5;Lollapalooza Chile 2024;Parque Bicentenario de Cerrillos;C3 Presents y Lotus ;Ticketmaster;15-03-2024;Cerca de 50 mil asistentes (210 mil en total) ;Internacional;Muerdo;128000;924000;2;No;No
5;Lollapalooza Chile 2024;Parque Bicentenario de Cerrillos;C3 Presents y Lotus ;Ticketmaster;15-03-2024;Cerca de 50 mil asistentes (210 mil en total) ;Internacional (latinoamericano);Leon Larregui;128000;924000;2;No;No
5;Lollapalooza Chile 2024;Parque Bicentenario de Cerrillos;C3 Presents y Lotus ;Ticketmaster;15-03-2024;Cerca de 50 mil asistentes (210 mil en total) ;Internacional;Pierce The Veil;128000;924000;2;No;No
5;Lollapalooza Chile 2024;Parque Bicentenario de Cerrillos;C3 Presents y Lotus ;Ticketmaster;15-03-2024;Cerca de 50 mil asistentes (210 mil en total) ;Internacional (latinoamericano);El Mato a un Polic a Motorizado;128000;924000;2;No;No
5;Lollapalooza Chile 2024;Parque Bicentenario de Cerrillos;C3 Presents y Lotus ;Ticketmaster;15-03-2024;Cerca de 50 mil asistentes (210 mil en total) ;Internacional;King Gizzard & The Lizard Wizard;128000;924000;2;No;No
5;Lollapalooza Chile 2024;Parque Bicentenario de Cerrillos;C3 Presents y Lotus ;Ticketmaster;15-03-2024;Cerca de 50 mil asistentes (210 mil en total) ;Nacional;Ceaese;128000;924000;2;No;No
5;Lollapalooza Chile 2024;Parque Bicentenario de Cerrillos;C3 Presents y Lotus ;Ticketmaster;15-03-2024;Cerca de 50 mil asistentes (210 mil en total) ;Internacional (latinoamericano);Bhavi;128000;924000;2;No;No
5;Lollapalooza Chile 2024;Parque Bicentenario de Cerrillos;C3 Presents y Lotus ;Ticketmaster;15-03-2024;Cerca de 50 mil asistentes (210 mil en total) ;Internacional (latinoamericano);Bad Milk;128000;924000;2;No;No
