NOMBRE RECINTO;DIRECCIÓN;COMUNA;CAPACIDAD;BUTACAS;ZONA RESIDENCIAL;PROPIETARIO;ABIERTO O CERRADO
Claro Arena;Av. Las Flores 13000; Las Condes;16.000 a 20.000 personas;16.000;No;Club Deportivo Universidad Católica;Abierto
Club Hípico;Av. Blanco Encalada 2540; Santiago;50.000 personas;0;No;Diversos accionistas;Abierto
Espacio Riesco;Av. El Salto 5000; Huechuraba;10.000 personas;0;No;GL Events;Abierto
Estadio Bicentenario de La Florida;Enrique Olivares 1003; La Florida;25.000 a 28.000 personas;12.000;Si;Municipalidad de La Florida;Abierto
Estadio Monumental David Arellano;Av. Marathon 5300; Macul;40.000 a 47.000 personas;40.000;Si;Inmobiliaria Estadio Colo Colo SA.;Abierto
Estadio Nacional Julio Martínez Prádanos;Av. Grecia 2001; Ñuñoa;46.000 a 60.000 personas;46.190;Si;Instituto Nacional de Deportes (IND);Abierto
Estadio Santa Laura;Sta. Laura 1241; Independencia;19.000 a 22.000 personas;19.887;Si;Inmobiliaria Unión Española;Abierto
Hipódromo Chile;Av. Hipódromo Chile 1715;Independencia;20.000 a 40.000 personas;S/I;Si;Sociedad Hipódromo Chile S.A.;Abierto
Movistar Arena;Tupper 1941 interior Parque O’Higgins; Santiago;16.522 personas;12.000;No;HLR Group;Cerrado
Parque Bicentenario de Cerrillos;Av. Pedro Aguirre Cerda 6100;Cerrillos;80.000 personas;0;No;Ministerio de la Vivienda y Urbanismo (MINVU);Abierto
Parque Deportivo Estadio Nacional;Av. Marathón 1719; Ñuñoa;60.000 personas;0;Si;Instituto Nacional de Deportes (IND);Abierto
Parque Padre Hurtado ;Francisco Bilbao 8105;La Reina;2.000 a 5.000 personas;0;Si;Junta de Alcaldes de Providencia, Las Condes y La Reina;Abierto
Teatro Caupolicán;San Diego 850; Santiago;7.000 personas;4.500;Si;Sociedad familiar Inmobiliaria Oriente;Cerrado
